SampleID,Tissue,Factor,Condition,Treatment,Replicate,bamReads,ControlID,bamControl,Peaks,PeakCaller
SRR22528424,NPC,none,NPC,none,1,/cluster/home/futing/Project/GBM/ChIP/H3K27ac/NPC/bam_files/SRR22528424.rmdup_sorted.bam,SRR22528417,/cluster/home/futing/Project/GBM/ChIP/H3K27ac/NPC/bam_files/SRR22528417.rmdup_sorted.bam,/cluster/home/futing/Project/GBM/ChIP/H3K27ac/NPC/macs2/SRR22528424_peaks.narrowPeak,narrow
SRR17882758,NPC,none,NPC,none,2,/cluster/home/futing/Project/GBM/ChIP/H3K27ac/NPC2/bam_files/SRR17882758.rmdup_sorted.bam,NPCinput,/cluster/home/futing/Project/GBM/ChIP/H3K27ac/NPC2/bam_files/input.rmdup_sorted.bam,/cluster/home/futing/Project/GBM/ChIP/H3K27ac/NPC2/macs2/SRR17882758_peaks.narrowPeak,narrow
SRR17882759,NPC,none,NPC,none,3,/cluster/home/futing/Project/GBM/ChIP/H3K27ac/NPC2/bam_files/SRR17882759.rmdup_sorted.bam,NPCinput,/cluster/home/futing/Project/GBM/ChIP/H3K27ac/NPC2/bam_files/input.rmdup_sorted.bam,/cluster/home/futing/Project/GBM/ChIP/H3K27ac/NPC2/macs2/SRR17882759_peaks.narrowPeak,narrow
SRR14862242,U87,none,GBM,none,1,/cluster/home/futing/Project/GBM/ChIP/H3K27ac/U87_new/bam_files/SRR14862242.rmdup_sorted.bam,SRR14862252,/cluster/home/futing/Project/GBM/ChIP/H3K27ac/U87_new/bam_files/SRR14862252.rmdup_sorted.bam,/cluster/home/futing/Project/GBM/ChIP/H3K27ac/U87_new/macs2/SRR14862242_peaks.narrowPeak,narrow
SRR14862243,U87,none,GBM,none,2,/cluster/home/futing/Project/GBM/ChIP/H3K27ac/U87_new/bam_files/SRR14862243.rmdup_sorted.bam,SRR14862252,/cluster/home/futing/Project/GBM/ChIP/H3K27ac/U87_new/bam_files/SRR14862252.rmdup_sorted.bam,/cluster/home/futing/Project/GBM/ChIP/H3K27ac/U87_new/macs2/SRR14862243_peaks.narrowPeak,narrow
SRR12056338,TS543,none,GBM,none,3,/cluster/home/futing/Project/GBM/ChIP/H3K27ac/TS543/bam_files/SRR12056338.rmdup_sorted.bam,SRR12056340,/cluster/home/futing/Project/GBM/ChIP/H3K27ac/TS543/bam_files/SRR12056340.rmdup_sorted.bam,/cluster/home/futing/Project/GBM/ChIP/H3K27ac/TS543/macs2/SRR12056338_peaks.narrowPeak,narrow
SRR24142098,TS576,none,GBM,none,4,/cluster/home/futing/Project/GBM/ChIP/H3K27ac/TS576/bam_files/SRR24142098.rmdup_sorted.bam,TS576input,/cluster/home/futing/Project/GBM/ChIP/H3K27ac/TS576/bam_files/input.rmdup_sorted.bam,/cluster/home/futing/Project/GBM/ChIP/H3K27ac/TS576/macs2/SRR24142098_peaks.narrowPeak,narrow
SRR24142097,TS576,none,GBM,none,5,/cluster/home/futing/Project/GBM/ChIP/H3K27ac/TS576/bam_files/SRR24142097.rmdup_sorted.bam,TS576input,/cluster/home/futing/Project/GBM/ChIP/H3K27ac/TS576/bam_files/input.rmdup_sorted.bam,/cluster/home/futing/Project/GBM/ChIP/H3K27ac/TS576/macs2/SRR24142097_peaks.narrowPeak,narrow
SRR11124370,U251,none,GBM,none,6,/cluster/home/futing/Project/GBM/ChIP/H3K27ac/U251/bam_files/SRR11124370.rmdup_sorted.bam,SRR11124371,/cluster/home/futing/Project/GBM/ChIP/H3K27ac/U251/bam_files/SRR11124371.rmdup_sorted.bam,/cluster/home/futing/Project/GBM/ChIP/H3K27ac/U251/macs2/SRR11124370_peaks.narrowPeak,narrow
SRR11124372,U343,none,GBM,none,7,/cluster/home/futing/Project/GBM/ChIP/H3K27ac/U343/bam_files/SRR11124372.rmdup_sorted.bam,SRR11124373,/cluster/home/futing/Project/GBM/ChIP/H3K27ac/U343/bam_files/SRR11124373.rmdup_sorted.bam,/cluster/home/futing/Project/GBM/ChIP/H3K27ac/U343/macs2/SRR11124372_peaks.narrowPeak,narrow
G275,GSC,none,GBM,none,8,NA,NA,NA,/cluster/home/futing/Project/GBM/ChIP/H3K27ac/GSC/GSM7182016_G275_H3K27ac_seacr_top0.01.peaks.stringent.bed,narrow
G275R,GSC,none,GBM,none,9,NA,NA,NA,/cluster/home/futing/Project/GBM/ChIP/H3K27ac/GSC/GSM7182017_G275R_H3K27ac_seacr_top0.01.peaks.stringent.bed,narrow
G412R,GSC,none,GBM,none,10,NA,NA,NA,/cluster/home/futing/Project/GBM/ChIP/H3K27ac/GSC/GSM7182018_G412R_H3K27ac_seacr_top0.01.peaks.stringent.bed,narrow
G402R,GSC,none,GBM,none,11,NA,NA,NA,/cluster/home/futing/Project/GBM/ChIP/H3K27ac/GSC/GSM7182019_G402R_H3K27ac_seacr_top0.01.peaks.stringent.bed,narrow
G402,GSC,none,GBM,none,12,NA,NA,NA,/cluster/home/futing/Project/GBM/ChIP/H3K27ac/GSC/GSM7182020_G402_H3K27ac_seacr_top0.01.peaks.stringent.bed,narrow
G412,GSC,none,GBM,none,13,NA,NA,NA,/cluster/home/futing/Project/GBM/ChIP/H3K27ac/GSC/GSM7182021_G412_H3K27ac_seacr_top0.01.peaks.stringent.bed,narrow
G452C,GSC,none,GBM,none,14,NA,NA,NA,/cluster/home/futing/Project/GBM/ChIP/H3K27ac/GSC/GSM7182022_G452C_H3K27ac_seacr_top0.01.peaks.stringent.bed,narrow
G394,GSC,none,GBM,none,15,NA,NA,NA,/cluster/home/futing/Project/GBM/ChIP/H3K27ac/GSC/GSM7182023_G394_H3K27ac_seacr_top0.01.peaks.stringent.bed,narrow
G148,GSC,none,GBM,none,16,NA,NA,NA,/cluster/home/futing/Project/GBM/ChIP/H3K27ac/GSC/GSM7182024_G148_H3K27ac_seacr_top0.01.peaks.stringent.bed,narrow
G450,GSC,none,GBM,none,17,NA,NA,NA,/cluster/home/futing/Project/GBM/ChIP/H3K27ac/GSC/GSM7182025_G450_H3K27ac_seacr_top0.01.peaks.stringent.bed,narrow
